Player's List,Base Price,COST IN ₹ (CR.),Cost IN $ (000),2022 Squad,TYPE_BATSMAN,TYPE_BOWLER,TYPE_WICKETKEEPER,Team_Delhi Capitals,Team_Gujarat Titans,Team_Kolkata Knight Riders,Team_Lucknow Super Giants,Team_Mumbai Indians,Team_Punjab Super Kings,Team_Rajasthan Royals,Team_Royal Challengers Banglore,Team_Sunrisers Hyderabad,Team_Unsold
Dewald Brevis,0,0.0,0.0,MI,True,False,False,False,False,False,False,True,False,False,False,False,False
Ishan Kishan,0,0.0,0.0,MI,False,False,True,False,False,False,False,True,False,False,False,False,False
Jasprit Bumrah,0,0.0,0.0,MI,False,True,False,False,False,False,False,True,False,False,False,False,False
Jason Behrendorff (T),0,0.0,0.0,MI,False,True,False,False,False,False,False,True,False,False,False,False,False
Jofra Archer,0,0.0,0.0,MI,False,False,False,False,False,False,False,True,False,False,False,False,False
Will Jacks,1500000,3.2,384.0,Not in 2022 Squad,True,False,False,False,False,False,False,False,False,False,True,False,False
Reece Topley,7500000,1.9,228.0,Not in 2022 Squad,False,True,False,False,False,False,False,False,False,False,True,False,False
Rajan Kumar,2000000,0.7,84.0,Not in 2022 Squad,False,True,False,False,False,False,False,False,False,False,True,False,False
Avinash Singh,2000000,0.6,72.0,Not in 2022 Squad,False,True,False,False,False,False,False,False,False,False,True,False,False
Manoj Bhandage,2000000,0.2,24.0,Not in 2022 Squad,False,False,False,False,False,False,False,False,False,False,True,False,False
Sonu Yadav,2000000,0.2,24.0,Not in 2022 Squad,False,False,False,False,False,False,False,False,False,False,True,False,False
Himanshu Sharma,2000000,0.2,24.0,Not in 2022 Squad,False,True,False,False,False,False,False,False,False,False,True,False,False
Rajat Patidar,0,0.0,0.0,RCB,True,False,False,False,False,False,False,False,False,False,True,False,False
Mahipal Lomror,0,0.0,0.0,RCB,False,True,False,False,False,False,False,False,False,False,True,False,False
Shahbaz Ahamad,0,0.0,0.0,RCB,False,False,False,False,False,False,False,False,False,False,True,False,False
Mohammed Siraj,0,0.0,0.0,RCB,False,True,False,False,False,False,False,False,False,False,True,False,False
Wanindu Hasaranga,0,0.0,0.0,RCB,False,False,False,False,False,False,False,False,False,False,True,False,False
Karn Sharma,0,0.0,0.0,RCB,False,True,False,False,False,False,False,False,False,False,True,False,False
Virat Kohli,0,0.0,0.0,RCB,True,False,False,False,False,False,False,False,False,False,True,False,False
Suyash Prabhudessai,0,0.0,0.0,RCB,False,False,False,False,False,False,False,False,False,False,True,False,False
Siddharth Kaul,0,0.0,0.0,RCB,False,True,False,False,False,False,False,False,False,False,True,False,False
Finn Allen,0,0.0,0.0,RCB,True,False,False,False,False,False,False,False,False,False,True,False,False
David Willey,0,0.0,0.0,RCB,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuj Rawat,0,0.0,0.0,RCB,False,False,True,False,False,False,False,False,False,False,True,False,False
Akash Deep,0,0.0,0.0,RCB,False,True,False,False,False,False,False,False,False,False,True,False,False
Dinesh Karthik,0,0.0,0.0,RCB,False,False,True,False,False,False,False,False,False,False,True,False,False
Faf Du Plessis,0,0.0,0.0,RCB,True,False,False,False,False,False,False,False,False,False,True,False,False
Harshal Patel,0,0.0,0.0,RCB,False,False,False,False,False,False,False,False,False,False,True,False,False
Glenn Maxwell,0,0.0,0.0,RCB,False,False,False,False,False,False,False,False,False,False,True,False,False
Josh Hazlewood,0,0.0,0.0,RCB,False,True,False,False,False,False,False,False,False,False,True,False,False
Jason Holder,20000000,5.75,690.0,LSG,False,False,False,False,False,False,False,False,False,True,False,False,False
Adam Zampa,1500000,1.5,180.0,Not in 2022 Squad,False,True,False,False,False,False,False,False,False,True,False,False,False
Joe Root,10000000,1.0,120.0,Not in 2022 Squad,True,False,False,False,False,False,False,False,False,True,False,False,False
Donovan Ferreira,2000000,0.5,60.0,Not in 2022 Squad,False,False,True,False,False,False,False,False,False,True,False,False,False
K.M. Asif,3000000,0.3,36.0,CSK,False,True,False,False,False,False,False,False,False,True,False,False,False
Kunal Rathore,2000000,0.2,24.0,Not in 2022 Squad,False,False,True,False,False,False,False,False,False,True,False,False,False
Abdul P A,2000000,0.2,24.0,Not in 2022 Squad,False,False,False,False,False,False,False,False,False,True,False,False,False
Akash Vashisht,2000000,0.2,24.0,Not in 2022 Squad,False,False,False,False,False,False,False,False,False,True,False,False,False
Murugan Ashwin,2000000,0.2,24.0,MI,False,True,False,False,False,False,False,False,False,True,False,False,False
Sanju Samson,0,0.0,0.0,RR,False,False,True,False,False,False,False,False,False,True,False,False,False
Riyan Parag,0,0.0,0.0,RR,False,False,False,False,False,False,False,False,False,True,False,False,False
R. Ashwin,0,0.0,0.0,RR,False,False,False,False,False,False,False,False,False,True,False,False,False
Shimron Hetmyer,0,0.0,0.0,RR,True,False,False,False,False,False,False,False,False,True,False,False,False
Trent Boult,0,0.0,0.0,RR,False,True,False,False,False,False,False,False,False,True,False,False,False
Prasidh Krishna,0,0.0,0.0,RR,False,True,False,False,False,False,False,False,False,True,False,False,False
Yuzvendra Chahal,0,0.0,0.0,RR,False,True,False,False,False,False,False,False,False,True,False,False,False
Yashasvi Jaiswal,0,0.0,0.0,RR,True,False,False,False,False,False,False,False,False,True,False,False,False
K.C Cariappa,0,0.0,0.0,RR,False,True,False,False,False,False,False,False,False,True,False,False,False
Dhruv Jurel,0,0.0,0.0,RR,False,False,True,False,False,False,False,False,False,True,False,False,False
Devdutt Padikkal,0,0.0,0.0,RR,True,False,False,False,False,False,False,False,False,True,False,False,False
Jos Buttler,0,0.0,0.0,RR,False,False,True,False,False,False,False,False,False,True,False,False,False
Kuldeep Sen,0,0.0,0.0,RR,False,True,False,False,False,False,False,False,False,True,False,False,False
Navdeep Saini,0,0.0,0.0,RR,False,True,False,False,False,False,False,False,False,True,False,False,False
